symbol,entry_date,entry_price,exit_date,exit_price,exit_reason,market_level_at_entry,score_trd,score_vty,score_vol,score_mom,score_total,success,days_in_trade,pct_return,source
1INCH-USD,2021-01-06,1.5134470462799072,2021-01-06,1.5134470462799072,TIME,5.0,11.2,4.0,2.5,0.0,17.7,0,0.0,0.0,static_build_v18@bfe85ac
1INCH-USD,2021-01-13,1.2723029851913452,2021-01-13,1.300176024436951,TIME,5.0,11.2,13.0,6.5,1.0,31.7,0,0.0,0.0219075484141961,static_build_v18@bfe85ac
1INCH-USD,2021-01-14,1.3348170518875122,2021-01-14,1.3348170518875122,TIME,5.0,11.2,13.0,6.5,1.0,31.7,0,0.0,0.0,static_build_v18@bfe85ac
1INCH-USD,2021-01-15,1.349639058113098,2021-01-15,1.349639058113098,TIME,5.0,11.2,13.0,6.5,1.0,31.7,0,0.0,0.0,static_build_v18@bfe85ac
1INCH-USD,2021-01-16,1.646293044090271,2021-01-16,1.646293044090271,TIME,5.0,11.2,13.0,8.25,3.0,35.45,0,0.0,0.0,static_build_v18@bfe85ac
1INCH-USD,2021-01-17,2.0292270183563232,2021-01-17,2.0292270183563232,TIME,5.0,11.2,13.0,10.0,4.0,38.2,0,0.0,0.0,static_build_v18@bfe85ac
1INCH-USD,2021-01-18,1.8777010440826416,2021-01-18,1.8777010440826416,TIME,5.0,11.2,13.0,6.5,2.0,32.7,0,0.0,0.0,static_build_v18@bfe85ac
1INCH-USD,2021-01-19,1.9157270193099976,2021-01-19,1.9157270193099976,TIME,5.0,11.2,13.0,6.5,6.0,36.7,0,0.0,0.0,static_build_v18@bfe85ac
1INCH-USD,2021-01-20,1.855687975883484,2021-01-20,1.855687975883484,TIME,5.0,11.2,13.0,6.5,5.0,35.7,0,0.0,0.0,static_build_v18@bfe85ac
1INCH-USD,2021-01-21,1.5666409730911257,2021-01-21,1.5666409730911257,TIME,5.0,0.0,13.0,6.5,4.0,23.5,0,0.0,0.0,static_build_v18@bfe85ac
1INCH-USD,2021-01-22,1.7674440145492554,2021-01-22,1.7674440145492554,TIME,5.0,11.2,10.5,6.5,5.0,33.2,0,0.0,0.0,static_build_v18@bfe85ac
1INCH-USD,2021-01-23,1.9319690465927124,2021-01-23,1.9319690465927124,TIME,5.0,11.2,10.5,6.5,6.0,34.2,0,0.0,0.0,static_build_v18@bfe85ac
