"RelativePath","Name","Ext","SizeBytes","LastWrite"
".\Data\Filtered_OHLCV\1INCH-USD.csv","1INCH-USD.csv",".csv","156290","2025-07-31 8:41:08 PM"
".\Data\Filtered_OHLCV\ACH-USD.csv","ACH-USD.csv",".csv","176829","2025-07-31 8:41:08 PM"
".\Data\Filtered_OHLCV\ACT-USD.csv","ACT-USD.csv",".csv","204124","2025-07-31 8:41:08 PM"
".\Data\Filtered_OHLCV\AGI-USD.csv","AGI-USD.csv",".csv","77712","2025-07-31 8:41:08 PM"
".\Data\Filtered_OHLCV\AGIX-USD.csv","AGIX-USD.csv",".csv","193715","2025-07-31 8:41:08 PM"
".\Data\Filtered_OHLCV\AIOZ-USD.csv","AIOZ-USD.csv",".csv","148774","2025-07-31 8:41:08 PM"
".\Data\Filtered_OHLCV\AITECH-USD.csv","AITECH-USD.csv",".csv","63696","2025-07-31 8:41:08 PM"
".\Data\Filtered_OHLCV\AKT-USD.csv","AKT-USD.csv",".csv","158783","2025-07-31 8:41:08 PM"
".\Data\Filtered_OHLCV\ALGO-USD.csv","ALGO-USD.csv",".csv","194372","2025-07-31 8:41:08 PM"
".\Data\Filtered_OHLCV\AMAPT-USD.csv","AMAPT-USD.csv",".csv","45581","2025-07-31 8:41:08 PM"
".\Data\Filtered_OHLCV\AMP-USD.csv","AMP-USD.csv",".csv","178637","2025-07-31 8:41:08 PM"
".\Data\Filtered_OHLCV\ANKR-USD.csv","ANKR-USD.csv",".csv","202202","2025-07-31 8:41:08 PM"
".\Data\Filtered_OHLCV\APE-USD.csv","APE-USD.csv",".csv","161804","2025-07-31 8:41:08 PM"
".\Data\Filtered_OHLCV\API3-USD.csv","API3-USD.csv",".csv","154547","2025-07-31 8:41:08 PM"
".\Data\Filtered_OHLCV\ARKM-USD.csv","ARKM-USD.csv",".csv","65727","2025-07-31 8:41:08 PM"
".\Data\Filtered_OHLCV\AR-USD.csv","AR-USD.csv",".csv","170968","2025-07-31 8:41:08 PM"
