"market_level","hold_days","total","tp","timed","other","tp_pct","timed_pct","other_pct"
"1","5","433","346","44","43","0.7991","0.1016","0.0993"
"1","6","433","346","37","50","0.7991","0.0855","0.1155"
"1","7","433","346","32","55","0.7991","0.0739","0.127"
"1","8","433","346","26","61","0.7991","0.06","0.1409"
"1","9","433","346","20","67","0.7991","0.0462","0.1547"
"1","10","433","346","0","87","0.7991","0","0.2009"
"1","11","433","346","0","87","0.7991","0","0.2009"
"1","12","433","346","0","87","0.7991","0","0.2009"
"1","13","433","346","0","87","0.7991","0","0.2009"
"1","14","433","346","0","87","0.7991","0","0.2009"
"1","15","433","346","0","87","0.7991","0","0.2009"
"1","16","433","346","0","87","0.7991","0","0.2009"
"1","17","433","346","0","87","0.7991","0","0.2009"
"1","18","433","346","0","87","0.7991","0","0.2009"
"1","19","433","346","0","87","0.7991","0","0.2009"
"1","20","433","346","0","87","0.7991","0","0.2009"
"2","5","261","192","39","30","0.7356","0.1494","0.1149"
"2","6","261","192","30","39","0.7356","0.1149","0.1494"
"2","7","261","192","23","46","0.7356","0.0881","0.1762"
"2","8","261","192","18","51","0.7356","0.069","0.1954"
"2","9","261","192","12","57","0.7356","0.046","0.2184"
"2","10","261","192","0","69","0.7356","0","0.2644"
"2","11","261","192","0","69","0.7356","0","0.2644"
"2","12","261","192","0","69","0.7356","0","0.2644"
"2","13","261","192","0","69","0.7356","0","0.2644"
"2","14","261","192","0","69","0.7356","0","0.2644"
"2","15","261","192","0","69","0.7356","0","0.2644"
"2","16","261","192","0","69","0.7356","0","0.2644"
"2","17","261","192","0","69","0.7356","0","0.2644"
"2","18","261","192","0","69","0.7356","0","0.2644"
"2","19","261","192","0","69","0.7356","0","0.2644"
"2","20","261","192","0","69","0.7356","0","0.2644"
"3","5","374","294","39","41","0.7861","0.1043","0.1096"
"3","6","374","294","38","42","0.7861","0.1016","0.1123"
"3","7","374","294","33","47","0.7861","0.0882","0.1257"
"3","8","374","294","25","55","0.7861","0.0668","0.1471"
"3","9","374","294","17","63","0.7861","0.0455","0.1684"
"3","10","374","294","0","80","0.7861","0","0.2139"
"3","11","374","294","0","80","0.7861","0","0.2139"
"3","12","374","294","0","80","0.7861","0","0.2139"
"3","13","374","294","0","80","0.7861","0","0.2139"
"3","14","374","294","0","80","0.7861","0","0.2139"
"3","15","374","294","0","80","0.7861","0","0.2139"
"3","16","374","294","0","80","0.7861","0","0.2139"
"3","17","374","294","0","80","0.7861","0","0.2139"
"3","18","374","294","0","80","0.7861","0","0.2139"
"3","19","374","294","0","80","0.7861","0","0.2139"
"3","20","374","294","0","80","0.7861","0","0.2139"
"4","5","342","264","43","35","0.7719","0.1257","0.1023"
"4","6","342","264","41","37","0.7719","0.1199","0.1082"
"4","7","342","264","29","49","0.7719","0.0848","0.1433"
"4","8","342","264","22","56","0.7719","0.0643","0.1637"
"4","9","342","264","18","60","0.7719","0.0526","0.1754"
"4","10","342","264","0","78","0.7719","0","0.2281"
"4","11","342","264","0","78","0.7719","0","0.2281"
"4","12","342","264","0","78","0.7719","0","0.2281"
"4","13","342","264","0","78","0.7719","0","0.2281"
"4","14","342","264","0","78","0.7719","0","0.2281"
"4","15","342","264","0","78","0.7719","0","0.2281"
"4","16","342","264","0","78","0.7719","0","0.2281"
"4","17","342","264","0","78","0.7719","0","0.2281"
"4","18","342","264","0","78","0.7719","0","0.2281"
"4","19","342","264","0","78","0.7719","0","0.2281"
"4","20","342","264","0","78","0.7719","0","0.2281"
"5","5","206","160","16","30","0.7767","0.0777","0.1456"
"5","6","206","160","14","32","0.7767","0.068","0.1553"
"5","7","206","160","14","32","0.7767","0.068","0.1553"
"5","8","206","160","10","36","0.7767","0.0485","0.1748"
"5","9","206","160","6","40","0.7767","0.0291","0.1942"
"5","10","206","160","0","46","0.7767","0","0.2233"
"5","11","206","160","0","46","0.7767","0","0.2233"
"5","12","206","160","0","46","0.7767","0","0.2233"
"5","13","206","160","0","46","0.7767","0","0.2233"
"5","14","206","160","0","46","0.7767","0","0.2233"
"5","15","206","160","0","46","0.7767","0","0.2233"
"5","16","206","160","0","46","0.7767","0","0.2233"
"5","17","206","160","0","46","0.7767","0","0.2233"
"5","18","206","160","0","46","0.7767","0","0.2233"
"5","19","206","160","0","46","0.7767","0","0.2233"
"5","20","206","160","0","46","0.7767","0","0.2233"
"6","5","328","242","48","38","0.7378","0.1463","0.1159"
"6","6","328","242","40","46","0.7378","0.122","0.1402"
"6","7","328","242","32","54","0.7378","0.0976","0.1646"
"6","8","328","242","28","58","0.7378","0.0854","0.1768"
"6","9","328","242","24","62","0.7378","0.0732","0.189"
"6","10","328","242","0","86","0.7378","0","0.2622"
"6","11","328","242","0","86","0.7378","0","0.2622"
"6","12","328","242","0","86","0.7378","0","0.2622"
"6","13","328","242","0","86","0.7378","0","0.2622"
"6","14","328","242","0","86","0.7378","0","0.2622"
"6","15","328","242","0","86","0.7378","0","0.2622"
"6","16","328","242","0","86","0.7378","0","0.2622"
"6","17","328","242","0","86","0.7378","0","0.2622"
"6","18","328","242","0","86","0.7378","0","0.2622"
"6","19","328","242","0","86","0.7378","0","0.2622"
"6","20","328","242","0","86","0.7378","0","0.2622"
"7","5","626","503","68","55","0.8035","0.1086","0.0879"
"7","6","626","503","60","63","0.8035","0.0958","0.1006"
