"market_level","hold_days","n_valid","tp_count","timed_count","avg_ret","median_ret","pct_pos"
"1","5","404","218","186","0.385376","0.33","0.9926"
"1","6","407","235","172","0.369639","0.33","0.9926"
"1","7","410","263","147","0.368214","0.33","0.9878"
"1","8","413","283","130","0.371785","0.33","0.9831"
"1","9","420","346","74","0.332522","0.33","0.9929"
"1","10","420","346","74","0.333286","0.33","0.9905"
"1","11","420","346","74","0.332857","0.33","0.9881"
"1","12","420","346","74","0.336091","0.33","0.9905"
"1","13","420","346","74","0.337489","0.33","0.9929"
"1","14","420","346","74","0.333518","0.33","0.981"
"1","15","420","346","74","0.327875","0.33","0.9738"
"1","16","420","346","74","0.324023","0.33","0.9667"
"1","17","420","346","74","0.326648","0.33","0.9786"
"1","18","420","346","74","0.329185","0.33","0.9786"
"1","19","420","346","74","0.326538","0.33","0.9714"
"1","20","420","346","74","0.325005","0.33","0.9571"
"2","5","232","115","117","0.421144","0.33","0.9871"
"2","6","234","130","104","0.383112","0.33","0.9829"
"2","7","235","140","95","0.381118","0.33","0.9745"
"2","8","238","158","80","0.378768","0.33","0.979"
"2","9","245","192","53","0.328665","0.33","0.9837"
"2","10","245","192","53","0.321497","0.33","0.9673"
"2","11","245","192","53","0.315147","0.33","0.9633"
"2","12","245","192","53","0.320145","0.33","0.9633"
"2","13","245","192","53","0.319866","0.33","0.9714"
"2","14","245","192","53","0.316885","0.33","0.9633"
"2","15","245","192","53","0.321327","0.33","0.9673"
"2","16","245","192","53","0.322518","0.33","0.9633"
"2","17","245","192","53","0.326347","0.33","0.9592"
"2","18","245","192","53","0.329442","0.33","0.9633"
"2","19","245","192","53","0.330774","0.33","0.9592"
"2","20","245","192","53","0.32986","0.33","0.9388"
"3","5","342","163","179","0.411412","0.33","0.9854"
"3","6","346","189","157","0.422098","0.33","0.9855"
"3","7","349","208","141","0.430378","0.33","0.9828"
"3","8","355","235","120","0.454131","0.33","0.9803"
"3","9","363","294","69","0.353187","0.33","0.9807"
"3","10","363","294","69","0.347155","0.33","0.9752"
"3","11","363","294","69","0.355621","0.33","0.978"
"3","12","363","294","69","0.355397","0.33","0.9752"
"3","13","363","294","69","0.356742","0.33","0.9752"
"3","14","363","294","69","0.346372","0.33","0.978"
"3","15","363","294","69","0.352892","0.33","0.9725"
"3","16","363","294","69","0.363908","0.33","0.978"
"3","17","363","294","69","0.355629","0.33","0.978"
"3","18","363","294","69","0.358631","0.33","0.9697"
"3","19","363","294","69","0.355356","0.33","0.9697"
"3","20","363","294","69","0.356298","0.33","0.9807"
"4","5","296","149","147","0.385595","0.33","0.9831"
"4","6","302","187","115","0.397895","0.33","0.9868"
"4","7","308","211","97","0.389796","0.33","0.9903"
"4","8","313","225","88","0.391082","0.33","0.9872"
"4","9","324","264","60","0.341602","0.33","0.9877"
"4","10","324","264","60","0.338001","0.33","0.9815"
"4","11","324","264","60","0.338189","0.33","0.9815"
"4","12","324","264","60","0.332913","0.33","0.9846"
