market_level,gate,feature,threshold
1,rsi,rsi_z,0.0
1,adx,adx_z,0.0
1,cmf,cmf_z,0.0
1,rvol,rvol_z,0.0
1,ema10_50,ema_ratio_10_50,1.0
1,ema50_200,ema_ratio_50_200,1.0
1,bbw,bbw_pct,0.9286535305321952
1,range,range_pct,0.199585964993403
2,rsi,rsi_z,0.0
2,adx,adx_z,0.0
2,cmf,cmf_z,0.0
2,rvol,rvol_z,0.0
2,ema10_50,ema_ratio_10_50,1.0
2,ema50_200,ema_ratio_50_200,1.0
2,bbw,bbw_pct,0.6227368865061155
2,range,range_pct,0.10606564403913016
3,rsi,rsi_z,0.0
3,adx,adx_z,0.0
3,cmf,cmf_z,0.0
3,rvol,rvol_z,0.0
3,ema10_50,ema_ratio_10_50,1.0
3,ema50_200,ema_ratio_50_200,1.0
3,bbw,bbw_pct,0.6052709218972089
3,range,range_pct,0.121278407215366
4,rsi,rsi_z,0.0
4,adx,adx_z,0.0
4,cmf,cmf_z,0.0
4,rvol,rvol_z,0.0
4,ema10_50,ema_ratio_10_50,1.0
4,ema50_200,ema_ratio_50_200,1.0
4,bbw,bbw_pct,0.4014753559058567
4,range,range_pct,0.0878681655276985
5,rsi,rsi_z,0.0
5,adx,adx_z,0.0
5,cmf,cmf_z,0.0
5,rvol,rvol_z,0.0
5,ema10_50,ema_ratio_10_50,1.0
5,ema50_200,ema_ratio_50_200,1.0
5,bbw,bbw_pct,0.45429510689388763
5,range,range_pct,0.10449461113854161
6,rsi,rsi_z,0.0
6,adx,adx_z,0.0
6,cmf,cmf_z,0.0
6,rvol,rvol_z,0.0
6,ema10_50,ema_ratio_10_50,1.0
6,ema50_200,ema_ratio_50_200,1.0
6,bbw,bbw_pct,0.4730044379198165
6,range,range_pct,0.1082420542227574
7,rsi,rsi_z,0.0
7,adx,adx_z,0.0
7,cmf,cmf_z,0.0
7,rvol,rvol_z,0.0
7,ema10_50,ema_ratio_10_50,1.0
7,ema50_200,ema_ratio_50_200,1.0
7,bbw,bbw_pct,0.4104348615640141
7,range,range_pct,0.0988208917861875
8,rsi,rsi_z,0.0
8,adx,adx_z,0.0
8,cmf,cmf_z,0.0
8,rvol,rvol_z,0.0
8,ema10_50,ema_ratio_10_50,1.0
8,ema50_200,ema_ratio_50_200,1.0
8,bbw,bbw_pct,0.4333460453957992
8,range,range_pct,0.1071633232579162
9,rsi,rsi_z,0.0
9,adx,adx_z,0.0
9,cmf,cmf_z,0.0
9,rvol,rvol_z,0.0
9,ema10_50,ema_ratio_10_50,1.0
9,ema50_200,ema_ratio_50_200,1.0
9,bbw,bbw_pct,0.4138161918803053
9,range,range_pct,0.09343216612781155
