scope,n_trades,win_rate,ret_mean,ret_p50,dur_mean,dur_p50,avg_trades_per_day,n_days
overall,385,0.948051948051948,0.4872558237791873,0.40767974068071317,5.976623376623377,6.0,1.0547945205479452,365
ml 1,18,1.0,0.36515592501275207,0.19839234791047208,6.0,6.0,0.049315068493150684,365
ml 2,17,0.9411764705882353,0.4948422784012457,0.30368708487084867,6.0,6.0,0.04657534246575343,365
ml 3,48,0.9791666666666666,0.4315016124169862,0.3461247190555945,6.0,6.0,0.13150684931506848,365
ml 4,16,0.9375,0.38016741133812676,0.3362606134582177,6.0,6.0,0.043835616438356165,365
ml 5,22,0.9090909090909091,0.5251561579414226,0.5116797925007257,5.863636363636363,6.0,0.06027397260273973,365
ml 6,30,0.9,0.48553990314601586,0.4164442974743225,5.933333333333334,6.0,0.0821917808219178,365
ml 7,66,0.9696969696969697,0.5263918781843817,0.42824296774928117,5.96969696969697,6.0,0.18082191780821918,365
ml 8,77,0.961038961038961,0.5187437851306309,0.4446109553701952,6.0,6.0,0.21095890410958903,365
ml 9,91,0.9230769230769231,0.4946026682438627,0.4326713456727055,5.978021978021978,6.0,0.2493150684931507,365
