"market_level","hold_days","tp_pct","n_valid","tp_count","timed_count","avg_ret","median_ret","pct_pos"
"1","5","0.1","411","263","148","0.24794","0.1","0.9951"
"1","5","0.15","411","263","148","0.279935","0.15","0.9951"
"1","5","0.2","411","263","148","0.31193","0.2","0.9951"
"1","5","0.25","411","263","148","0.343925","0.25","0.9951"
"1","5","0.3","411","263","148","0.37592","0.3","0.9951"
"1","5","0.33","404","218","186","0.385376","0.33","0.9926"
"1","5","0.35","400","187","213","0.393331","0.35","0.9925"
"1","5","0.4","395","135","260","0.404364","0.4","0.9899"
"1","5","0.45","390","87","303","0.406733","0.394734","0.9897"
"1","5","0.5","386","71","315","0.411902","0.37698","0.9896"
"1","5","0.55","381","47","334","0.412175","0.360407","0.9895"
"1","5","0.6","378","36","342","0.411663","0.343529","0.9894"
"1","5","0.65","377","30","347","0.414144","0.33627","0.9894"
"1","5","0.7","377","24","353","0.414077","0.333796","0.9894"
"1","5","0.75","376","19","357","0.41216","0.329975","0.984"
"1","5","0.8","375","13","362","0.410711","0.329156","0.984"
"1","5","0.85","374","12","362","0.411275","0.328423","0.984"
"1","5","0.9","373","11","362","0.411573","0.32769","0.9839"
"1","5","0.95","372","10","362","0.411604","0.327546","0.9839"
"2","5","0.1","238","146","92","0.275884","0.1","0.9958"
"2","5","0.15","238","146","92","0.306556","0.15","0.9958"
"2","5","0.2","238","146","92","0.337229","0.2","0.9958"
"2","5","0.25","238","146","92","0.367901","0.25","0.9958"
"2","5","0.3","238","146","92","0.398573","0.3","0.9958"
"2","5","0.33","232","115","117","0.421144","0.33","0.9871"
"2","5","0.35","227","98","129","0.426687","0.35","0.9868"
"2","5","0.4","222","67","155","0.437694","0.4","0.9865"
"2","5","0.45","221","52","169","0.44163","0.384381","0.9864"
"2","5","0.5","218","42","176","0.443389","0.363014","0.9771"
"2","5","0.55","216","29","187","0.437498","0.346164","0.9676"
"2","5","0.6","212","24","188","0.441058","0.342632","0.967"
"2","5","0.65","211","22","189","0.445226","0.342472","0.9668"
"2","5","0.7","210","18","192","0.447469","0.341978","0.9667"
"2","5","0.75","209","15","194","0.447606","0.34036","0.9665"
"2","5","0.8","207","12","195","0.445027","0.337258","0.9662"
"2","5","0.85","207","11","196","0.450476","0.337258","0.9662"
"2","5","0.9","206","9","197","0.448453","0.337132","0.966"
"2","5","0.95","205","8","197","0.448202","0.337005","0.9659"
"3","8","0.1","360","288","72","0.273692","0.1","0.9972"
"3","8","0.15","360","288","72","0.313692","0.15","0.9972"
"3","8","0.2","360","288","72","0.353692","0.2","0.9972"
"3","8","0.25","360","288","72","0.393692","0.25","0.9972"
"3","8","0.3","360","288","72","0.433692","0.3","0.9972"
"3","8","0.33","355","235","120","0.454131","0.33","0.9803"
"3","8","0.35","348","194","154","0.467981","0.35","0.9741"
"3","8","0.4","333","127","206","0.497254","0.4","0.955"
"3","8","0.45","325","87","238","0.510896","0.45","0.9446"
"3","8","0.5","317","61","256","0.522822","0.437249","0.9432"
"3","8","0.55","312","46","266","0.525027","0.417009","0.9391"
"3","8","0.6","308","36","272","0.526959","0.398102","0.9351"
"3","8","0.65","305","29","276","0.529232","0.38876","0.9344"
"3","8","0.7","305","26","279","0.531681","0.384818","0.9344"
"3","8","0.75","305","23","282","0.532773","0.383147","0.9344"
"3","8","0.8","303","19","284","0.532118","0.3826","0.934"
"3","8","0.85","301","15","286","0.536592","0.378436","0.9302"
"3","8","0.9","300","12","288","0.536656","0.378316","0.93"
"3","8","0.95","299","9","290","0.53482","0.378195","0.9298"
"4","6","0.1","305","224","81","0.234252","0.1","0.9934"
"4","6","0.15","305","224","81","0.270973","0.15","0.9934"
"4","6","0.2","305","224","81","0.307695","0.2","0.9934"
"4","6","0.25","305","224","81","0.344416","0.25","0.9934"
"4","6","0.3","305","224","81","0.381137","0.3","0.9934"
"4","6","0.33","302","187","115","0.397895","0.33","0.9868"
"4","6","0.35","300","160","140","0.4075","0.35","0.98"
"4","6","0.4","294","106","188","0.418943","0.4","0.9728"
"4","6","0.45","290","76","214","0.427544","0.431704","0.969"
"4","6","0.5","285","56","229","0.44406","0.406607","0.9649"
"4","6","0.55","280","46","234","0.453179","0.399429","0.9643"
"4","6","0.6","278","34","244","0.456233","0.391296","0.9604"
"4","6","0.65","278","27","251","0.460143","0.387694","0.9568"
"4","6","0.7","278","22","256","0.459222","0.386375","0.9568"
"4","6","0.75","277","16","261","0.459648","0.386266","0.9567"
"4","6","0.8","276","14","262","0.460053","0.383887","0.9565"
"4","6","0.85","276","14","262","0.462589","0.383887","0.9565"
"4","6","0.9","275","12","263","0.46223","0.381507","0.9564"
"4","6","0.95","274","10","264","0.461409","0.380348","0.9562"
"5","8","0.1","192","150","42","26.171396","0.1","0.9896"
"5","8","0.15","192","150","42","26.210458","0.15","0.9896"
"5","8","0.2","192","150","42","26.249521","0.2","0.9896"
"5","8","0.25","192","150","42","26.288583","0.25","0.9896"
"5","8","0.3","192","150","42","26.327646","0.3","0.9896"
"5","8","0.33","189","122","67","26.755849","0.33","0.9735"
"5","8","0.35","186","104","82","27.190024","0.35","0.9624"
"5","8","0.4","182","85","97","27.799605","0.4","0.9615"
"5","8","0.45","181","70","111","27.971374","0.45","0.9503"
"5","8","0.5","179","59","120","28.296415","0.5","0.9497"
"5","8","0.55","176","44","132","28.791548","0.55","0.9432"
"5","8","0.6","174","37","137","29.12299","0.528454","0.9425"
"5","8","0.65","170","29","141","29.802821","0.508484","0.9412"
"5","8","0.7","168","24","144","30.161799","0.500474","0.9405"
"5","8","0.75","163","17","146","31.068144","0.459695","0.9387"
"5","8","0.8","163","16","147","31.075575","0.459695","0.9387"
"5","8","0.85","163","14","149","31.093291","0.459695","0.9387"
"5","8","0.9","162","12","150","31.280532","0.439274","0.9383"
"5","8","0.95","162","11","151","31.281075","0.438483","0.9383"
"6","6","0.1","292","186","106","0.295006","0.1","1"
"6","6","0.15","292","186","106","0.326855","0.15","1"
"6","6","0.2","292","186","106","0.358704","0.2","1"
"6","6","0.25","292","186","106","0.390554","0.25","1"
"6","6","0.3","292","186","106","0.422403","0.3","1"
"6","6","0.33","286","148","138","0.436244","0.33","0.993"
"6","6","0.35","282","132","150","0.443079","0.35","0.9929"
"6","6","0.4","274","92","182","0.47223","0.4","0.9927"
"6","6","0.45","269","68","201","0.488208","0.45","0.9888"
"6","6","0.5","266","52","214","0.498002","0.4827","0.9887"
"6","6","0.55","266","35","231","0.517355","0.454861","0.9887"
"6","6","0.6","266","29","237","0.520102","0.446476","0.9887"
"6","6","0.65","266","22","244","0.531771","0.432825","0.9887"
"6","6","0.7","265","17","248","0.53316","0.421048","0.9887"
"6","6","0.75","263","13","250","0.532026","0.418072","0.9886"
"6","6","0.8","263","13","250","0.534497","0.418072","0.9886"
"6","6","0.85","263","13","250","0.536969","0.418072","0.9886"
"6","6","0.9","262","11","251","0.537781","0.4165","0.9885"
"6","6","0.95","262","8","254","0.53529","0.414653","0.9885"
"7","6","0.1","569","350","219","0.67056","0.1","0.9965"
"7","6","0.15","569","350","219","0.701315","0.15","0.9965"
"7","6","0.2","569","350","219","0.732071","0.2","0.9965"
"7","6","0.25","569","350","219","0.762827","0.25","0.9965"
"7","6","0.3","569","350","219","0.793582","0.3","0.9965"
"7","6","0.33","563","299","264","0.817746","0.33","0.9947"
"7","6","0.35","552","267","285","0.835461","0.35","0.9909"
"7","6","0.4","546","210","336","0.855985","0.4","0.9853"
"7","6","0.45","538","158","380","0.883513","0.45","0.9851"
"7","6","0.5","535","130","405","0.899979","0.5","0.9832"
"7","6","0.55","529","104","425","0.909553","0.473729","0.983"
"7","6","0.6","519","86","433","0.921966","0.44833","0.9827"
"7","6","0.65","516","76","440","0.927401","0.436372","0.9826"
"7","6","0.7","510","61","449","0.935674","0.421398","0.9804"
"7","6","0.75","507","46","461","0.942146","0.41416","0.9783"
"7","6","0.8","504","40","464","0.944136","0.412216","0.9762"
"7","6","0.85","503","29","474","0.942808","0.406201","0.9742"
"7","6","0.9","503","25","478","0.972829","0.405116","0.9742"
"7","6","0.95","500","19","481","0.973445","0.400742","0.974"
"8","7","0.1","518","354","164","0.326714","0.1","0.9981"
"8","7","0.15","518","354","164","0.360884","0.15","0.9981"
"8","7","0.2","518","354","164","0.395054","0.2","0.9981"
"8","7","0.25","518","354","164","0.429224","0.25","0.9981"
"8","7","0.3","518","354","164","0.463393","0.3","0.9981"
"8","7","0.33","513","289","224","0.483272","0.33","0.9883"
"8","7","0.35","511","254","257","0.493108","0.35","0.9824"
"8","7","0.4","501","166","335","0.524801","0.4","0.976"
"8","7","0.45","498","133","365","0.540526","0.45","0.9759"
"8","7","0.5","491","97","394","0.552512","0.487927","0.9756"
"8","7","0.55","487","72","415","0.560194","0.44604","0.9754"
"8","7","0.6","483","61","422","0.565231","0.436666","0.9731"
"8","7","0.65","479","45","434","0.567549","0.427596","0.9729"
"8","7","0.7","477","33","444","0.565817","0.41882","0.9727"
"8","7","0.75","474","25","449","0.565606","0.415712","0.9705"
"8","7","0.8","471","22","449","0.566767","0.415088","0.9703"
"8","7","0.85","471","20","451","0.569268","0.415088","0.9703"
"8","7","0.9","470","17","453","0.570645","0.411828","0.9702"
"8","7","0.95","469","15","454","0.570858","0.411746","0.9701"
"9","6","0.1","618","387","231","0.299259","0.1","0.9984"
"9","6","0.15","618","387","231","0.33057","0.15","0.9984"
"9","6","0.2","618","387","231","0.361881","0.2","0.9984"
"9","6","0.25","618","387","231","0.393191","0.25","0.9984"
"9","6","0.3","618","387","231","0.424502","0.3","0.9984"
"9","6","0.33","610","323","287","0.443677","0.33","0.9902"
"9","6","0.35","601","275","326","0.450239","0.35","0.99"
"9","6","0.4","589","184","405","0.463818","0.4","0.9864"
"9","6","0.45","580","132","448","0.476121","0.45","0.981"
"9","6","0.5","577","107","470","0.488004","0.454561","0.9792"
"9","6","0.55","575","95","480","0.494242","0.440787","0.9774"
"9","6","0.6","570","76","494","0.496697","0.425931","0.9754"
"9","6","0.65","569","61","508","0.498305","0.412355","0.9736"
"9","6","0.7","568","53","515","0.501908","0.411737","0.9736"
"9","6","0.75","565","46","519","0.503694","0.405599","0.9717"
"9","6","0.8","564","38","526","0.510312","0.403046","0.9681"
"9","6","0.85","562","31","531","0.510902","0.401","0.9662"
"9","6","0.9","562","27","535","0.510876","0.400064","0.9644"
"9","6","0.95","561","23","538","0.511298","0.39973","0.9643"
